title_y,num_correct,num_incorrect,accuracy,accuracy_group,installation_id,game_session_y
Cart Balancer (Assessment),1,2,0.3333333333333333,1,00fc65b6,ea2738fba4f2c341
Bird Measurer (Assessment),0,2,0.0,0,010bc1d5,49f65396b901366f
Mushroom Sorter (Assessment),1,0,1.0,3,010bc1d5,77c0ffc58b95748a
Bird Measurer (Assessment),0,2,0.0,0,01120f12,f5fea737ce83acc6
Bird Measurer (Assessment),0,6,0.0,0,0153c957,65f9c6e01c6865d3
Cart Balancer (Assessment),1,0,1.0,3,0155dd86,200bd213d65096c3
Chest Sorter (Assessment),0,2,0.0,0,0155dd86,5fd64cfdd2568004
Cart Balancer (Assessment),1,0,1.0,3,015776b4,032880a4dca1fb6b
Chest Sorter (Assessment),0,7,0.0,0,015776b4,48e17f187b5cb6ec
Mushroom Sorter (Assessment),0,1,0.0,0,015776b4,ab3a4c946cc5d51d
Cauldron Filler (Assessment),1,0,1.0,3,01582211,2b06dcf3a9bc9ab5
Chest Sorter (Assessment),0,2,0.0,0,01582211,902c22638fceb254
Cart Balancer (Assessment),1,1,0.5,2,01582211,b9e4e0faa3d91e1f
Cart Balancer (Assessment),1,2,0.3333333333333333,1,0160e7c5,facd0a672c49d732
Mushroom Sorter (Assessment),1,4,0.2,1,01825124,77023c0a71fe835e
Bird Measurer (Assessment),1,3,0.25,1,01825124,f8de7f9f1baedba3
Mushroom Sorter (Assessment),1,0,1.0,3,01bdd720,00097cda27afb726
Bird Measurer (Assessment),1,0,1.0,3,01bdd720,2cbd37f1442b2b80
Cart Balancer (Assessment),1,0,1.0,3,01bdd720,2d2412f750d8312a
Chest Sorter (Assessment),0,4,0.0,0,01bdd720,bf5869a219895ae0
Cart Balancer (Assessment),1,0,1.0,3,01cc53f3,18875f87420dbf0c
Cauldron Filler (Assessment),1,0,1.0,3,01cc53f3,85056f5ceab5ecbf
Chest Sorter (Assessment),1,0,1.0,3,01cc53f3,bda68fe31bdb26ce
Bird Measurer (Assessment),0,1,0.0,0,01d5e1f5,bb3738392f5a4ae0
Chest Sorter (Assessment),0,4,0.0,0,01f71702,0de0d35f85afd76c
Cart Balancer (Assessment),1,0,1.0,3,01f71702,2c41091dc88157d5
Cauldron Filler (Assessment),1,1,0.5,2,01f71702,93b8e335aad20961
Mushroom Sorter (Assessment),1,0,1.0,3,01f71702,9868ede08f01d6f6
Bird Measurer (Assessment),1,1,0.5,2,01f71702,d365ff77f064a4b3
Bird Measurer (Assessment),1,0,1.0,3,01faa4bf,09c766b97c48a6c8
Mushroom Sorter (Assessment),1,0,1.0,3,01faa4bf,23ab90d32ab5975a
Cart Balancer (Assessment),1,0,1.0,3,01faa4bf,54df108d0f618be0
Chest Sorter (Assessment),1,1,0.5,2,01faa4bf,a7edee7ee13299e4
Chest Sorter (Assessment),0,1,0.0,0,022183ab,0132e115e1f4378e
Cart Balancer (Assessment),0,3,0.0,0,022183ab,4c905efefad36d70
Cauldron Filler (Assessment),0,1,0.0,0,022183ab,7de6e079182c4abf
Bird Measurer (Assessment),0,6,0.0,0,022183ab,916b951016dac5c8
Mushroom Sorter (Assessment),0,1,0.0,0,022183ab,b6b0b6c34f6097b6
Cauldron Filler (Assessment),1,1,0.5,2,0235fe9a,07d386012a71175a
Mushroom Sorter (Assessment),0,2,0.0,0,0235fe9a,1150402fda276e9e
Chest Sorter (Assessment),0,1,0.0,0,0235fe9a,5f76e52b637a69d4
Cart Balancer (Assessment),1,0,1.0,3,0235fe9a,8c054ce688e2d70a
Mushroom Sorter (Assessment),1,0,1.0,3,023c4bcb,58e820059c76e308
Chest Sorter (Assessment),1,3,0.25,1,02490b06,6efbdf71bbd3bde1
Cauldron Filler (Assessment),0,3,0.0,0,026035e9,bbdf7e2ae92c2dfb
Chest Sorter (Assessment),1,0,1.0,3,026035e9,c3dff8ba0d65a724
Mushroom Sorter (Assessment),1,0,1.0,3,026035e9,c97dc799500a71c5
Mushroom Sorter (Assessment),1,0,1.0,3,026e3733,cc3ca237b6ef9cc8
Cauldron Filler (Assessment),1,0,1.0,3,027b3c4c,3918b575e60fa5d3
Cart Balancer (Assessment),1,0,1.0,3,027b3c4c,78d852063cba2983
Chest Sorter (Assessment),1,0,1.0,3,027b3c4c,aa2a5310a5c10bc4
Cart Balancer (Assessment),1,0,1.0,3,0281f6bf,2c0ea0be0a69b266
Mushroom Sorter (Assessment),1,1,0.5,2,0281f6bf,64ca884781c9c764
Chest Sorter (Assessment),0,7,0.0,0,0281f6bf,708ad3acc6f78d9c
Bird Measurer (Assessment),0,9,0.0,0,0281f6bf,a5a86ac93032f84e
Cauldron Filler (Assessment),1,0,1.0,3,0281f6bf,ac9f4c11e3987eb6
Cart Balancer (Assessment),1,0,1.0,3,02875dc2,278cc33cb108a989
Mushroom Sorter (Assessment),1,1,0.5,2,0293ae74,58fc97ef3490dc88
Cart Balancer (Assessment),1,0,1.0,3,0293ae74,5a585c48cabb5579
Bird Measurer (Assessment),1,3,0.25,1,0293ae74,68311bca12c85522
Cart Balancer (Assessment),0,1,0.0,0,02aa515f,a54f6bbbdac3827c
Bird Measurer (Assessment),1,6,0.14285714285714285,1,02aa515f,b5a9bef83f89b4ba
Cauldron Filler (Assessment),1,1,0.5,2,02aa515f,d1228ecb363467b7
Chest Sorter (Assessment),0,3,0.0,0,02aa515f,d5b087b6a1dd89ee
Cart Balancer (Assessment),1,0,1.0,3,02b1fab4,04ae6595177fddcb
Bird Measurer (Assessment),1,0,1.0,3,02b1fab4,094e1b8a5460b027
Mushroom Sorter (Assessment),1,0,1.0,3,02b1fab4,1593e825018cafe7
Cauldron Filler (Assessment),1,0,1.0,3,02b1fab4,3351196298c8e1a7
Chest Sorter (Assessment),1,0,1.0,3,02b1fab4,611cecf2a9f4d6a8
Mushroom Sorter (Assessment),1,0,1.0,3,02c975bc,27fcd3d60d786fae
Cauldron Filler (Assessment),1,1,0.5,2,02c975bc,2b1d065fac9072ac
Bird Measurer (Assessment),0,1,0.0,0,02c975bc,72b6b290b7f9a3e4
Chest Sorter (Assessment),0,1,0.0,0,02c975bc,8af16a37782adaa0
Cart Balancer (Assessment),0,1,0.0,0,02c975bc,e0ab08c35f6660b6
Bird Measurer (Assessment),1,0,1.0,3,02cdd48e,0c613eecfb59ff0d
Cauldron Filler (Assessment),1,0,1.0,3,02cdd48e,371da06effd4c290
Mushroom Sorter (Assessment),1,0,1.0,3,02cdd48e,669b5a6dd9b10487
Cart Balancer (Assessment),1,0,1.0,3,02cdd48e,c5c88cbef0dce5d9
Bird Measurer (Assessment),0,6,0.0,0,02cdfffd,0522c00245be6a65
Cauldron Filler (Assessment),1,3,0.25,1,02cdfffd,6669218d2273050d
Mushroom Sorter (Assessment),0,1,0.0,0,02cdfffd,6f6d8aab29d71c65
Cart Balancer (Assessment),1,0,1.0,3,02cdfffd,c6d10a77898681d5
Chest Sorter (Assessment),0,2,0.0,0,02cdfffd,cbb7fa0d47a0930f
Cauldron Filler (Assessment),1,2,0.3333333333333333,1,02e76f43,30cb87f4e39bcdd7
Cart Balancer (Assessment),1,0,1.0,3,031af3b8,3f15605bb307aa63
Cauldron Filler (Assessment),1,1,0.5,2,031af3b8,93afabfc3d429f28
Chest Sorter (Assessment),0,1,0.0,0,031af3b8,bde7e5b2daa39086
Bird Measurer (Assessment),0,1,0.0,0,031af3b8,d6983eda6c6494c9
Cart Balancer (Assessment),0,1,0.0,0,0328fc8f,1de3862bd6e16242
Mushroom Sorter (Assessment),0,1,0.0,0,0328fc8f,69f37471a7d54ed2
Cauldron Filler (Assessment),1,0,1.0,3,0328fc8f,a7284c2cfbfcddc6
Chest Sorter (Assessment),0,3,0.0,0,0328fc8f,e5ff9590c8c656c9
Bird Measurer (Assessment),1,2,0.3333333333333333,1,0328fc8f,e716326fc72ffac7
Mushroom Sorter (Assessment),1,0,1.0,3,03401e19,06362e54083ddb3a
Cart Balancer (Assessment),1,3,0.25,1,03401e19,32256918fade9468
Bird Measurer (Assessment),1,2,0.3333333333333333,1,03401e19,33762a13e3efa077
Chest Sorter (Assessment),0,5,0.0,0,03401e19,4bfb2b7d269e898f
Cauldron Filler (Assessment),1,0,1.0,3,03401e19,849414629f9b18fa
Chest Sorter (Assessment),1,1,0.5,2,03560e11,4ce4c4d5bfb8866a
Cart Balancer (Assessment),1,0,1.0,3,03560e11,f33d59e5c51035e0
Chest Sorter (Assessment),0,2,0.0,0,03957682,0f5f7c7670b74106
Cart Balancer (Assessment),1,0,1.0,3,03957682,3203bd4ed10d4c11
Cauldron Filler (Assessment),1,0,1.0,3,03957682,995247c167749050
Bird Measurer (Assessment),1,1,0.5,2,03957682,c07c728127f0e4b7
Mushroom Sorter (Assessment),0,3,0.0,0,03957682,c2c75a8d3e3aafcc
Cart Balancer (Assessment),1,0,1.0,3,039e4ac7,49aba589d8700114
Chest Sorter (Assessment),0,1,0.0,0,039e4ac7,9fb9e73b455ddd38
Chest Sorter (Assessment),0,5,0.0,0,03a5b006,04c9d693668621eb
Cart Balancer (Assessment),1,0,1.0,3,03a5b006,1c3a202c4274cdc4
Cauldron Filler (Assessment),1,0,1.0,3,03a5b006,67a199fcaf540695
Mushroom Sorter (Assessment),1,0,1.0,3,03a5b006,e447d25e9c8509a3
Mushroom Sorter (Assessment),0,1,0.0,0,03b74be5,14084d2ac3dc9060
Cauldron Filler (Assessment),1,2,0.3333333333333333,1,03bf2563,067d1041b775c495
Cauldron Filler (Assessment),1,1,0.5,2,03c5998d,7f1b214a87941443
Chest Sorter (Assessment),0,7,0.0,0,03cd458d,868ccba25515339c
Mushroom Sorter (Assessment),1,0,1.0,3,03cd458d,957fabfa436afcde
Mushroom Sorter (Assessment),1,0,1.0,3,03d15b59,044b426a0caeba07
Cart Balancer (Assessment),1,1,0.5,2,03d15b59,3626b55dcace3ee2
Bird Measurer (Assessment),1,0,1.0,3,03d15b59,3e44d75f72f40d82
Chest Sorter (Assessment),1,0,1.0,3,03d15b59,8edae88592ced658
Cauldron Filler (Assessment),1,0,1.0,3,03d15b59,a92066a87862c385
Cauldron Filler (Assessment),1,0,1.0,3,03e38765,c34763bc49fb778e
Cart Balancer (Assessment),1,0,1.0,3,03f89040,50372add55ccf705
Chest Sorter (Assessment),1,1,0.5,2,03f89040,7e67790a4fbbbd22
Mushroom Sorter (Assessment),1,0,1.0,3,040dbdbe,06e6406812214f15
Bird Measurer (Assessment),1,1,0.5,2,040dbdbe,513cd95615193cb2
Chest Sorter (Assessment),0,4,0.0,0,0413ae4a,20259585d61e0921
Cart Balancer (Assessment),1,0,1.0,3,0413ae4a,370f017b06390971
Cauldron Filler (Assessment),1,1,0.5,2,0413ae4a,af548c0efeb078d9
Cauldron Filler (Assessment),1,0,1.0,3,04240fb1,6e4922960e5aced4
Cart Balancer (Assessment),0,4,0.0,0,0429e1ff,2d13c917fa31305d
Cauldron Filler (Assessment),0,3,0.0,0,0429e1ff,9ccc5c27b80aac3d
Mushroom Sorter (Assessment),0,2,0.0,0,0429e1ff,e8b5dbb8b6cba262
Mushroom Sorter (Assessment),1,0,1.0,3,043e7f32,1ae7e69a520f8f6d
Cauldron Filler (Assessment),1,0,1.0,3,043e7f32,3008e57668412590
Chest Sorter (Assessment),0,1,0.0,0,043e7f32,4b600b136beb0ac3
Cart Balancer (Assessment),0,1,0.0,0,043e7f32,96d54b2a361fb67c
Bird Measurer (Assessment),1,2,0.3333333333333333,1,043e7f32,c6a9a8397f6cdc2f
Chest Sorter (Assessment),0,5,0.0,0,04616599,19abfc838609574f
Mushroom Sorter (Assessment),1,0,1.0,3,04616599,49ceac1312fa15fa
Bird Measurer (Assessment),0,8,0.0,0,04616599,a9153b6a5104aa8b
Cauldron Filler (Assessment),1,0,1.0,3,04616599,b4d065470d42d4c5
Cart Balancer (Assessment),1,1,0.5,2,04616599,bae8216f314a0231
Mushroom Sorter (Assessment),0,4,0.0,0,046234c2,074ae7bf09877d87
Cart Balancer (Assessment),1,2,0.3333333333333333,1,046234c2,1d4eb5c744af7a28
Cauldron Filler (Assessment),0,3,0.0,0,046234c2,f846e136a99c6e9b
Cauldron Filler (Assessment),1,0,1.0,3,0478b042,0636437b11beb632
Cart Balancer (Assessment),1,0,1.0,3,0478b042,1b7e8f7c511547b6
Mushroom Sorter (Assessment),1,0,1.0,3,0478b042,22280bae8e6c574e
Chest Sorter (Assessment),1,3,0.25,1,0478b042,2cde0ebfdd84def2
Bird Measurer (Assessment),1,3,0.25,1,0478b042,3bbeff1a10e8e7da
Bird Measurer (Assessment),1,1,0.5,2,04963bef,4f10402266c0abb8
Cart Balancer (Assessment),1,1,0.5,2,04963bef,51913c7e16b53c16
Bird Measurer (Assessment),1,0,1.0,3,04a57775,7b5c483acadd992f
Chest Sorter (Assessment),1,8,0.1111111111111111,1,04a57775,bbac8c4a4fa0d0e7
Cauldron Filler (Assessment),1,0,1.0,3,04a57775,d412923bb37be292
Cart Balancer (Assessment),1,0,1.0,3,04a57775,d420f71111585ac3
Cart Balancer (Assessment),1,0,1.0,3,04a5927d,0b8fcceb5c7ff59b
Mushroom Sorter (Assessment),1,0,1.0,3,04a5927d,3b74cb6dc0537adf
Bird Measurer (Assessment),0,1,0.0,0,04a5927d,bd30c87c94189007
Chest Sorter (Assessment),0,1,0.0,0,04c612fd,2f731cbe691d15a0
Cauldron Filler (Assessment),1,0,1.0,3,04c612fd,366fdc503b791128
Cart Balancer (Assessment),1,0,1.0,3,04c612fd,5500617a8c7375df
Bird Measurer (Assessment),1,3,0.25,1,04c612fd,74478e365339e42d
Mushroom Sorter (Assessment),1,3,0.25,1,04c612fd,9b06791d138fba20
Bird Measurer (Assessment),0,1,0.0,0,04d77ef2,42dec073b3450133
Mushroom Sorter (Assessment),1,0,1.0,3,04d77ef2,8ec24f612968ce0e
Cart Balancer (Assessment),1,1,0.5,2,04de2aae,04728e8bd4f725d3
Cauldron Filler (Assessment),1,0,1.0,3,04de2aae,a37e86e6faf80ea5
Bird Measurer (Assessment),1,2,0.3333333333333333,1,04de2aae,c5c5442c94e5caec
Cauldron Filler (Assessment),1,1,0.5,2,04e2712b,6bb348c5083533df
Cauldron Filler (Assessment),1,3,0.25,1,04f2cf8f,12cca227c2f69eb4
Cart Balancer (Assessment),1,0,1.0,3,04f8b246,2f8b24460602be62
Cauldron Filler (Assessment),1,0,1.0,3,04fa906f,162773a24a88bdbd
Chest Sorter (Assessment),0,4,0.0,0,04fbee62,f2f53797b9e9400b
Cart Balancer (Assessment),1,0,1.0,3,05047409,1d4e033cd9def816
Bird Measurer (Assessment),1,2,0.3333333333333333,1,05047409,1e7bd24bc11e4d02
Cauldron Filler (Assessment),1,1,0.5,2,05047409,622ceb266405fa84
Mushroom Sorter (Assessment),1,5,0.16666666666666666,1,05047409,d1b93cc3269aa4fe
Cart Balancer (Assessment),1,1,0.5,2,050f6d04,0424b5b5ddb73b33
Cauldron Filler (Assessment),1,0,1.0,3,050f6d04,c87af6a7957718d8
Bird Measurer (Assessment),1,2,0.3333333333333333,1,05118f81,101bfbf14ee17a5b
Cauldron Filler (Assessment),1,0,1.0,3,05118f81,2e1535f74b90fe2e
Mushroom Sorter (Assessment),0,1,0.0,0,05118f81,454190ab0d171524
Chest Sorter (Assessment),0,1,0.0,0,05118f81,61fd3b568bf561aa
Cart Balancer (Assessment),1,3,0.25,1,05118f81,9cc0cd88765f67e7
Chest Sorter (Assessment),0,3,0.0,0,051794c4,0125507a545f053a
Mushroom Sorter (Assessment),1,2,0.3333333333333333,1,051794c4,4b70da7a047d703a
Cauldron Filler (Assessment),0,2,0.0,0,051794c4,77a13de9f1c04861
Bird Measurer (Assessment),0,14,0.0,0,051794c4,922ebbc7034b5c17
Cart Balancer (Assessment),1,1,0.5,2,051794c4,f46d41d9bba23586
Chest Sorter (Assessment),0,14,0.0,0,051bc5a5,0bbaa6d47f145ecd
Cart Balancer (Assessment),0,14,0.0,0,051bc5a5,966d8c874c003267
Cauldron Filler (Assessment),0,7,0.0,0,051bc5a5,a8e1f37c5116c72c
Chest Sorter (Assessment),1,4,0.2,1,05239f3f,1e5ddf9c2c0f0b3d
Cart Balancer (Assessment),1,0,1.0,3,05239f3f,2ad00d3db8b5363d
Cauldron Filler (Assessment),1,0,1.0,3,05239f3f,38a77a33fed82663
Chest Sorter (Assessment),1,0,1.0,3,05309abe,4a8421cb0895601b
Cauldron Filler (Assessment),1,0,1.0,3,05309abe,75413ccb5ce0ddf2
Cart Balancer (Assessment),1,0,1.0,3,05309abe,7865d9233469b242
Mushroom Sorter (Assessment),1,0,1.0,3,05309abe,994fe16a8517545f
Bird Measurer (Assessment),0,3,0.0,0,05309abe,cbe0f0761a28efde
Cart Balancer (Assessment),1,0,1.0,3,053e6353,45f147aad6c43063
Cauldron Filler (Assessment),0,1,0.0,0,053e6353,fd407d00876d0b5f
Mushroom Sorter (Assessment),0,2,0.0,0,0583693e,00a50b6ccf9a0e2f
Cauldron Filler (Assessment),1,2,0.3333333333333333,1,0583693e,1700cb672b456255
Chest Sorter (Assessment),0,3,0.0,0,0583693e,4a8501d04b1f4cff
Cart Balancer (Assessment),1,2,0.3333333333333333,1,0583693e,6016f74b909c889a
Bird Measurer (Assessment),1,1,0.5,2,0583693e,d23698bfe03d94e7
Mushroom Sorter (Assessment),1,1,0.5,2,05a3ae61,3dbe570efba0350b
Chest Sorter (Assessment),0,3,0.0,0,05a3ae61,971547aea77f36c1
Cauldron Filler (Assessment),1,1,0.5,2,05a3ae61,adddddf3fb04af15
Cart Balancer (Assessment),1,0,1.0,3,05aaa5c9,1c09b95efca4cefd
Cauldron Filler (Assessment),1,0,1.0,3,05b198a5,8c389362d4a5d06a
Bird Measurer (Assessment),1,2,0.3333333333333333,1,05bc97c3,7e41a1a57cf22a72
Cart Balancer (Assessment),1,0,1.0,3,05bc97c3,a96e6b7fc1f01674
Chest Sorter (Assessment),1,1,0.5,2,05bc97c3,e91ec62e67b5c327
Mushroom Sorter (Assessment),1,0,1.0,3,05bc97c3,ea709e02a6a0a3c9
Bird Measurer (Assessment),1,1,0.5,2,0607efb8,2987c62557f60764
Chest Sorter (Assessment),1,0,1.0,3,0607efb8,4d1b8256aca198fd
Mushroom Sorter (Assessment),1,1,0.5,2,0607efb8,4f57c826f2e850a9
Cart Balancer (Assessment),1,0,1.0,3,0607efb8,afbc2d56e7691599
Cauldron Filler (Assessment),1,0,1.0,3,0607efb8,ca562ca8aa678e60
Bird Measurer (Assessment),1,3,0.25,1,0633cad0,4c6c16ea33cfaad8
Mushroom Sorter (Assessment),1,0,1.0,3,0633cad0,52811a01b789681c
Chest Sorter (Assessment),0,7,0.0,0,0633cad0,5a3e8d5347d53856
Cart Balancer (Assessment),1,0,1.0,3,0633cad0,786111c9824330d7
Cauldron Filler (Assessment),1,1,0.5,2,0633cad0,9fad4b8a01ff1e46
Cart Balancer (Assessment),1,2,0.3333333333333333,1,063405ff,32fa69655c153050
Cauldron Filler (Assessment),1,0,1.0,3,063405ff,fcf72090820b8e7b
Cauldron Filler (Assessment),0,3,0.0,0,06362232,5e6a1362248bf498
Cart Balancer (Assessment),1,0,1.0,3,06362232,b9529e225e88b233
Mushroom Sorter (Assessment),0,1,0.0,0,063e3e02,3e71605d5c24f061
Bird Measurer (Assessment),0,8,0.0,0,063e3e02,5a3953341c34d3bc
Cart Balancer (Assessment),0,9,0.0,0,063e3e02,614b3f60629d83aa
Cauldron Filler (Assessment),0,1,0.0,0,063e3e02,c5367f08c33c3ca4
Chest Sorter (Assessment),0,5,0.0,0,063e3e02,ff81dd72b8c60be8
Cauldron Filler (Assessment),1,0,1.0,3,0642544a,4e4f4aacb7e53ea9
Cauldron Filler (Assessment),1,0,1.0,3,06435d15,2185cedea85f9c97
Mushroom Sorter (Assessment),1,0,1.0,3,06435d15,9e1883a253fc34e0
Bird Measurer (Assessment),1,3,0.25,1,06435d15,b2ed88532caabfcf
Cart Balancer (Assessment),0,7,0.0,0,064c24c0,965d4469301ace13
Cauldron Filler (Assessment),1,2,0.3333333333333333,1,064c24c0,ba51754e090dcb62
Mushroom Sorter (Assessment),1,0,1.0,3,064c24c0,d57d3f0fcad10c28
Cauldron Filler (Assessment),1,3,0.25,1,0688471f,f66a921e072448d6
Cart Balancer (Assessment),1,0,1.0,3,06906111,bdea5c9d22d8406d
Cauldron Filler (Assessment),1,0,1.0,3,06906111,f84bce6a98160acf
Bird Measurer (Assessment),0,2,0.0,0,06a6dea0,22f7ff8f2b8b1a26
Mushroom Sorter (Assessment),1,1,0.5,2,06a6dea0,59fb90af63b90d11
Cart Balancer (Assessment),1,0,1.0,3,06d28015,6e99147dce40e859
Chest Sorter (Assessment),0,3,0.0,0,06d28015,7bcafbee47eaa354
Cauldron Filler (Assessment),1,0,1.0,3,06d28015,95fc5f6d0492823d
Cauldron Filler (Assessment),0,1,0.0,0,06e6a3e3,37cc8bac9d832cd3
Bird Measurer (Assessment),1,0,1.0,3,06f12094,54e3b5b9cc2d31ca
Cauldron Filler (Assessment),1,1,0.5,2,06f12094,b7f28ca171817765
Mushroom Sorter (Assessment),1,0,1.0,3,06f12094,f9431c15a629829e
Chest Sorter (Assessment),0,4,0.0,0,072a25ac,01480c97c44a9a45
Mushroom Sorter (Assessment),1,0,1.0,3,072a25ac,02a4b691a5e56e90
Bird Measurer (Assessment),0,11,0.0,0,072a25ac,1bebadc7400e93bc
Cauldron Filler (Assessment),0,1,0.0,0,072a25ac,277cbfea5710fb85
Cart Balancer (Assessment),0,3,0.0,0,072a25ac,73ae46d59f750312
Mushroom Sorter (Assessment),1,0,1.0,3,074b4825,d4b7983c65ed4758
Cart Balancer (Assessment),1,2,0.3333333333333333,1,075cbae2,1d5320c5035a145b
Bird Measurer (Assessment),1,3,0.25,1,075cbae2,6e2deadad25dac0e
Chest Sorter (Assessment),0,13,0.0,0,075cbae2,84ae5b737c9ab312
Cauldron Filler (Assessment),1,0,1.0,3,076b08db,9058f3470ce90fed
Cauldron Filler (Assessment),1,2,0.3333333333333333,1,077173b2,5096d602fa052b48
Mushroom Sorter (Assessment),1,0,1.0,3,077173b2,a0b870b9ef39f092
Bird Measurer (Assessment),1,1,0.5,2,077173b2,e712dae9d9cc0306
Mushroom Sorter (Assessment),1,0,1.0,3,07731248,09947c35f927864b
Chest Sorter (Assessment),0,1,0.0,0,077b3c9c,160890494575bc36
Cart Balancer (Assessment),0,5,0.0,0,077b3c9c,648ae2107a1ec3b8
Cart Balancer (Assessment),1,0,1.0,3,07861450,38307745463eac55
Mushroom Sorter (Assessment),1,0,1.0,3,07861450,3fdbbf671e243b98
Bird Measurer (Assessment),1,0,1.0,3,07861450,50e9d44895da7107
Cauldron Filler (Assessment),1,0,1.0,3,07861450,824236329d4f1eb9
Chest Sorter (Assessment),1,6,0.14285714285714285,1,07861450,da47247b661386a6
Bird Measurer (Assessment),1,1,0.5,2,07921f07,3560198408cd077c
Cauldron Filler (Assessment),0,1,0.0,0,07921f07,56c8f085daee4fd1
Chest Sorter (Assessment),0,1,0.0,0,07921f07,cecb88e9170d6fc3
Mushroom Sorter (Assessment),1,0,1.0,3,0793409e,3e2ed5b652d01b54
Cauldron Filler (Assessment),1,0,1.0,3,0793409e,b79d9c3e3f8e56d9
Bird Measurer (Assessment),1,1,0.5,2,0793409e,d8f05fdbcb5d37fe
Cauldron Filler (Assessment),1,2,0.3333333333333333,1,07ae5a97,0a228fed6806439c
