event_count,game_time,num_unique_days,elapsed_days,last_world,last_assessment,unique_game_sessions,activity_ct,game_ct,assessment_ct,clip_ct,event_2000_ct,event_2010_ct,event_2020_ct,event_2025_ct,event_2030_ct,event_2035_ct,event_2040_ct,event_2050_ct,event_2060_ct,event_2070_ct,event_2075_ct,event_2080_ct,event_2081_ct,event_2083_ct,event_3010_ct,event_3020_ct,event_3021_ct,event_3110_ct,event_3120_ct,event_3121_ct,event_4010_ct,event_4020_ct,event_4021_ct,event_4022_ct,event_4025_ct,event_4030_ct,event_4031_ct,event_4035_ct,event_4040_ct,event_4045_ct,event_4050_ct,event_4070_ct,event_4080_ct,event_4090_ct,event_4095_ct,event_4100_ct,event_4110_ct,event_4220_ct,event_4230_ct,event_4235_ct,event_5000_ct,event_5010_ct,Bird Measurer (Assessment),Mushroom Sorter (Assessment),Cauldron Filler (Assessment),Chest Sorter (Assessment),Cart Balancer (Assessment)
641,580,2,1,TREETOPCITY,Bird Measurer (Assessment),18,211.0,355.0,65.0,10.0,18.0,0.0,11.0,3.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,82.0,10.0,10.0,82.0,9.0,8.0,3.0,59.0,0.0,15.0,21.0,80.0,0.0,6.0,0.0,0.0,2.0,208.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,37.0,28.0,0.0,0.0,0.0
2635,5025,1,0,CRYSTALCAVES,Chest Sorter (Assessment),43,1129.0,1350.0,135.0,21.0,43.0,0.0,76.0,1.0,65.0,1.0,4.0,3.0,3.0,3.0,0.0,5.0,0.0,5.0,423.0,99.0,52.0,417.0,99.0,51.0,11.0,284.0,47.0,0.0,41.0,314.0,0.0,54.0,11.0,2.0,0.0,488.0,0.0,7.0,5.0,14.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,135.0,0.0
2406,3200,1,0,TREETOPCITY,Mushroom Sorter (Assessment),39,1027.0,1262.0,99.0,18.0,39.0,1.0,86.0,5.0,77.0,5.0,7.0,6.0,3.0,3.0,0.0,7.0,3.0,4.0,291.0,84.0,52.0,287.0,83.0,52.0,9.0,286.0,33.0,5.0,34.0,358.0,11.0,83.0,24.0,4.0,0.0,351.0,0.0,3.0,5.0,19.0,2.0,0.0,37.0,37.0,5.0,5.0,0.0,47.0,0.0,52.0,0.0
2535,3379,2,1,CRYSTALCAVES,Cart Balancer (Assessment),43,1027.0,1262.0,226.0,20.0,43.0,3.0,89.0,5.0,80.0,5.0,7.0,6.0,3.0,3.0,0.0,7.0,3.0,4.0,299.0,94.0,54.0,295.0,93.0,54.0,9.0,297.0,33.0,5.0,48.0,386.0,11.0,83.0,27.0,4.0,0.0,359.0,0.0,3.0,5.0,21.0,13.0,0.0,37.0,37.0,5.0,5.0,92.0,47.0,0.0,52.0,35.0
2894,4012,2,1,MAGMAPEAK,Cauldron Filler (Assessment),49,1289.0,1262.0,320.0,23.0,49.0,4.0,117.0,5.0,106.0,5.0,7.0,6.0,3.0,3.0,0.0,7.0,3.0,4.0,337.0,101.0,57.0,333.0,100.0,57.0,9.0,349.0,33.0,5.0,60.0,476.0,11.0,109.0,28.0,4.0,0.0,371.0,0.0,4.0,5.0,29.0,13.0,0.0,37.0,37.0,5.0,5.0,92.0,47.0,26.0,120.0,35.0
3436,4609,4,5,TREETOPCITY,Bird Measurer (Assessment),74,1534.0,1402.0,461.0,39.0,74.0,6.0,137.0,6.0,123.0,6.0,7.0,6.0,4.0,4.0,0.0,7.0,3.0,4.0,424.0,108.0,71.0,419.0,107.0,69.0,11.0,403.0,38.0,5.0,85.0,550.0,11.0,113.0,28.0,4.0,0.0,458.0,0.0,4.0,5.0,32.0,20.0,0.0,37.0,37.0,5.0,5.0,195.0,85.0,26.0,120.0,35.0
783,753,1,0,CRYSTALCAVES,Chest Sorter (Assessment),18,292.0,427.0,52.0,12.0,18.0,0.0,15.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,50.0,63.0,14.0,50.0,63.0,14.0,3.0,97.0,9.0,5.0,13.0,186.0,0.0,56.0,6.0,0.0,0.0,93.0,0.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0
1047,1206,1,0,CRYSTALCAVES,Cart Balancer (Assessment),35,317.0,569.0,139.0,22.0,35.0,4.0,30.0,1.0,29.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,177.0,23.0,33.0,175.0,23.0,32.0,5.0,120.0,0.0,1.0,18.0,138.0,0.0,16.0,8.0,2.0,0.0,158.0,0.0,0.0,1.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,41.0,35.0,0.0,0.0,63.0
1783,2329,2,1,MAGMAPEAK,Cauldron Filler (Assessment),52,538.0,980.0,238.0,27.0,52.0,5.0,58.0,3.0,52.0,3.0,1.0,0.0,4.0,4.0,0.0,4.0,1.0,3.0,275.0,30.0,62.0,270.0,29.0,60.0,11.0,191.0,12.0,1.0,41.0,222.0,17.0,19.0,19.0,4.0,0.0,295.0,0.0,0.0,2.0,17.0,4.0,4.0,4.0,4.0,0.0,0.0,41.0,35.0,37.0,62.0,63.0
694,730,1,0,TREETOPCITY,Bird Measurer (Assessment),21,236.0,369.0,76.0,13.0,21.0,2.0,19.0,1.0,18.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,148.0,6.0,20.0,146.0,6.0,19.0,3.0,59.0,0.0,0.0,18.0,55.0,0.0,5.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,41.0,35.0,0.0,0.0,0.0
1247,1529,1,0,CRYSTALCAVES,Chest Sorter (Assessment),41,370.0,652.0,201.0,24.0,41.0,4.0,38.0,1.0,34.0,1.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,201.0,27.0,38.0,198.0,26.0,36.0,7.0,148.0,0.0,1.0,40.0,169.0,0.0,17.0,9.0,2.0,0.0,180.0,0.0,0.0,1.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,41.0,35.0,0.0,62.0,63.0
224,244,1,0,TREETOPCITY,Mushroom Sorter (Assessment),13,131.0,49.0,35.0,9.0,13.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,7.0,26.0,0.0,6.0,1.0,38.0,0.0,0.0,6.0,36.0,0.0,1.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0
331,451,3,2,TREETOPCITY,Bird Measurer (Assessment),40,147.0,7.0,156.0,21.0,40.0,1.0,17.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,54.0,2.0,6.0,48.0,2.0,5.0,1.0,34.0,0.0,0.0,14.0,50.0,0.0,3.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,42.0,9.0,59.0,33.0,13.0
109,258,1,0,MAGMAPEAK,Cauldron Filler (Assessment),17,51.0,7.0,43.0,8.0,17.0,0.0,10.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,2.0,16.0,0.0,1.0,1.0,10.0,0.0,0.0,1.0,14.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,13.0,6.0
167,220,1,0,MAGMAPEAK,Cauldron Filler (Assessment),7,0.0,99.0,63.0,5.0,7.0,1.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,7.0,8.0,15.0,7.0,1.0,17.0,0.0,0.0,1.0,24.0,0.0,7.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0
195,250,1,0,CRYSTALCAVES,Cart Balancer (Assessment),9,0.0,99.0,90.0,6.0,9.0,2.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,8.0,10.0,15.0,8.0,1.0,25.0,0.0,0.0,1.0,32.0,0.0,7.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,27.0
266,347,1,0,CRYSTALCAVES,Chest Sorter (Assessment),11,0.0,99.0,160.0,7.0,11.0,2.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0,8.0,14.0,16.0,8.0,1.0,30.0,0.0,0.0,17.0,56.0,0.0,10.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,70.0,27.0
513,524,7,51,CRYSTALCAVES,Cart Balancer (Assessment),45,295.0,48.0,133.0,37.0,45.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,53.0,1.0,1.0,52.0,1.0,1.0,2.0,36.0,27.0,0.0,0.0,99.0,0.0,32.0,7.0,0.0,0.0,142.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0
2028,2236,10,35,TREETOPCITY,Mushroom Sorter (Assessment),64,559.0,943.0,499.0,27.0,64.0,2.0,45.0,7.0,30.0,3.0,4.0,3.0,4.0,1.0,3.0,6.0,3.0,2.0,199.0,107.0,42.0,191.0,106.0,41.0,14.0,196.0,38.0,0.0,103.0,250.0,0.0,31.0,21.0,1.0,0.0,429.0,0.0,3.0,4.0,19.0,18.0,0.0,0.0,0.0,19.0,19.0,203.0,163.0,78.0,55.0,0.0
983,1133,5,9,MAGMAPEAK,Cauldron Filler (Assessment),45,319.0,496.0,144.0,24.0,45.0,0.0,23.0,3.0,17.0,1.0,3.0,3.0,3.0,0.0,3.0,4.0,1.0,2.0,105.0,48.0,20.0,98.0,47.0,19.0,8.0,102.0,18.0,0.0,42.0,117.0,0.0,16.0,6.0,0.0,0.0,190.0,0.0,2.0,2.0,3.0,8.0,0.0,0.0,0.0,12.0,12.0,70.0,29.0,45.0,0.0,0.0
1088,1228,5,9,TREETOPCITY,Bird Measurer (Assessment),48,370.0,496.0,197.0,25.0,48.0,0.0,24.0,3.0,17.0,1.0,3.0,3.0,3.0,0.0,3.0,4.0,1.0,2.0,117.0,55.0,20.0,110.0,54.0,19.0,8.0,105.0,24.0,0.0,54.0,138.0,0.0,16.0,6.0,0.0,0.0,204.0,0.0,2.0,2.0,3.0,15.0,0.0,0.0,0.0,12.0,12.0,123.0,29.0,45.0,0.0,0.0
1405,1568,8,21,CRYSTALCAVES,Chest Sorter (Assessment),54,449.0,678.0,252.0,26.0,54.0,0.0,31.0,3.0,21.0,1.0,3.0,3.0,3.0,0.0,3.0,5.0,2.0,2.0,148.0,87.0,25.0,140.0,86.0,24.0,11.0,134.0,24.0,0.0,69.0,191.0,0.0,28.0,13.0,1.0,0.0,242.0,0.0,2.0,3.0,7.0,15.0,0.0,0.0,0.0,12.0,12.0,123.0,29.0,45.0,55.0,0.0
409,1257,3,4,CRYSTALCAVES,Cart Balancer (Assessment),26,68.0,104.0,217.0,20.0,26.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,29.0,1.0,26.0,27.0,1.0,1.0,64.0,0.0,0.0,0.0,86.0,0.0,19.0,3.0,0.0,0.0,79.0,0.0,2.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.0
41,29,1,0,TREETOPCITY,Mushroom Sorter (Assessment),2,0.0,0.0,40.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,3.0,0.0,4.0,0.0,5.0,0.0,0.0,3.0,6.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
908,1216,3,5,MAGMAPEAK,Cauldron Filler (Assessment),28,794.0,40.0,55.0,19.0,28.0,1.0,38.0,0.0,35.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,130.0,4.0,3.0,127.0,4.0,3.0,2.0,141.0,42.0,0.0,16.0,195.0,0.0,33.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,55.0,0.0,0.0
80,89,1,0,CRYSTALCAVES,Cart Balancer (Assessment),11,2.0,54.0,17.0,7.0,11.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,5.0,5.0,6.0,4.0,1.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
191,257,2,69,CRYSTALCAVES,Cart Balancer (Assessment),10,0.0,153.0,30.0,8.0,10.0,1.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,9.0,10.0,21.0,9.0,1.0,28.0,0.0,0.0,0.0,39.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1352,1895,2,1,CRYSTALCAVES,Cart Balancer (Assessment),37,248.0,775.0,313.0,16.0,37.0,8.0,47.0,1.0,43.0,1.0,0.0,0.0,6.0,2.0,4.0,0.0,0.0,0.0,159.0,25.0,60.0,157.0,25.0,60.0,10.0,187.0,14.0,0.0,79.0,145.0,11.0,14.0,3.0,0.0,0.0,207.0,0.0,0.0,2.0,22.0,2.0,0.0,0.0,0.0,11.0,10.0,49.0,37.0,137.0,47.0,43.0
712,991,1,0,TREETOPCITY,Bird Measurer (Assessment),23,0.0,534.0,166.0,12.0,23.0,4.0,28.0,1.0,27.0,1.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,77.0,12.0,41.0,76.0,12.0,41.0,7.0,93.0,0.0,0.0,14.0,70.0,11.0,6.0,3.0,0.0,0.0,143.0,0.0,0.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,49.0,37.0,80.0,0.0,0.0
1322,1854,1,0,CRYSTALCAVES,Chest Sorter (Assessment),35,248.0,775.0,284.0,15.0,35.0,7.0,46.0,1.0,42.0,1.0,0.0,0.0,6.0,2.0,4.0,0.0,0.0,0.0,157.0,25.0,59.0,155.0,25.0,59.0,10.0,179.0,14.0,0.0,79.0,137.0,11.0,14.0,3.0,0.0,0.0,205.0,0.0,0.0,2.0,21.0,2.0,0.0,0.0,0.0,11.0,10.0,49.0,37.0,137.0,47.0,14.0
391,583,1,0,MAGMAPEAK,Cauldron Filler (Assessment),14,0.0,329.0,53.0,9.0,14.0,1.0,15.0,0.0,15.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,29.0,11.0,27.0,28.0,11.0,27.0,4.0,51.0,0.0,0.0,1.0,36.0,11.0,3.0,2.0,0.0,0.0,96.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0
509,727,1,0,TREETOPCITY,Mushroom Sorter (Assessment),19,0.0,381.0,117.0,11.0,19.0,3.0,21.0,1.0,21.0,1.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,40.0,11.0,37.0,39.0,11.0,37.0,5.0,69.0,0.0,0.0,5.0,57.0,11.0,5.0,3.0,0.0,0.0,102.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,80.0,0.0,0.0
1150,1283,3,13,TREETOPCITY,Bird Measurer (Assessment),28,263.0,583.0,291.0,13.0,28.0,3.0,32.0,0.0,24.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,150.0,41.0,25.0,149.0,41.0,24.0,6.0,142.0,0.0,1.0,63.0,171.0,0.0,21.0,18.0,2.0,0.0,173.0,0.0,2.0,0.0,21.0,5.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,51.0,139.0,13.0
359,434,2,12,CRYSTALCAVES,Cart Balancer (Assessment),13,83.0,171.0,99.0,6.0,13.0,3.0,11.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,35.0,18.0,10.0,35.0,18.0,10.0,2.0,49.0,0.0,1.0,6.0,79.0,0.0,10.0,14.0,2.0,0.0,25.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,35.0,13.0
789,925,2,12,CRYSTALCAVES,Chest Sorter (Assessment),19,152.0,426.0,203.0,8.0,19.0,3.0,21.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,62.0,38.0,17.0,61.0,38.0,16.0,4.0,129.0,0.0,1.0,51.0,149.0,0.0,17.0,18.0,2.0,0.0,100.0,0.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,139.0,13.0
110,124,2,12,MAGMAPEAK,Cauldron Filler (Assessment),4,23.0,0.0,86.0,1.0,4.0,2.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,5.0,14.0,1.0,5.0,0.0,13.0,0.0,0.0,6.0,20.0,0.0,1.0,3.0,0.0,0.0,8.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,35.0,0.0
3822,5268,2,1,TREETOPCITY,Bird Measurer (Assessment),115,2726.0,866.0,150.0,80.0,115.0,2.0,101.0,5.0,92.0,5.0,6.0,6.0,3.0,2.0,0.0,7.0,0.0,6.0,836.0,28.0,58.0,835.0,28.0,56.0,10.0,345.0,120.0,0.0,153.0,519.0,0.0,104.0,27.0,4.0,0.0,285.0,0.0,1.0,3.0,17.0,3.0,0.0,7.0,7.0,13.0,13.0,68.0,35.0,10.0,37.0,0.0
2030,3015,2,1,CRYSTALCAVES,Chest Sorter (Assessment),63,1286.0,651.0,47.0,46.0,63.0,0.0,75.0,0.0,68.0,0.0,6.0,6.0,3.0,2.0,0.0,6.0,0.0,5.0,422.0,25.0,30.0,421.0,25.0,29.0,7.0,201.0,71.0,0.0,80.0,263.0,0.0,49.0,9.0,0.0,0.0,132.0,0.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,10.0,37.0,0.0
3663,5092,2,1,TREETOPCITY,Mushroom Sorter (Assessment),112,2636.0,866.0,82.0,79.0,112.0,1.0,99.0,5.0,90.0,5.0,6.0,6.0,3.0,2.0,0.0,7.0,0.0,6.0,797.0,26.0,57.0,796.0,26.0,55.0,10.0,341.0,120.0,0.0,137.0,492.0,0.0,97.0,27.0,4.0,0.0,276.0,0.0,1.0,3.0,16.0,0.0,0.0,7.0,7.0,13.0,13.0,0.0,35.0,10.0,37.0,0.0
2434,3828,1,0,MAGMAPEAK,Cauldron Filler (Assessment),28,747.0,1604.0,70.0,13.0,28.0,2.0,86.0,4.0,83.0,4.0,9.0,9.0,3.0,3.0,0.0,10.0,1.0,8.0,225.0,104.0,59.0,223.0,104.0,59.0,8.0,320.0,31.0,18.0,46.0,330.0,28.0,62.0,36.0,11.0,0.0,436.0,0.0,2.0,4.0,36.0,0.0,22.0,0.0,0.0,10.0,10.0,0.0,0.0,55.0,0.0,15.0
3304,4730,1,0,TREETOPCITY,Bird Measurer (Assessment),43,1092.0,1993.0,200.0,19.0,43.0,3.0,104.0,7.0,100.0,5.0,9.0,9.0,4.0,4.0,0.0,10.0,1.0,8.0,382.0,110.0,79.0,379.0,110.0,79.0,11.0,414.0,31.0,28.0,66.0,450.0,28.0,76.0,37.0,11.0,0.0,613.0,0.0,3.0,4.0,41.0,3.0,22.0,0.0,0.0,10.0,10.0,77.0,53.0,55.0,0.0,15.0
2817,4225,1,0,TREETOPCITY,Mushroom Sorter (Assessment),35,980.0,1701.0,120.0,16.0,35.0,3.0,90.0,6.0,87.0,5.0,9.0,9.0,3.0,3.0,0.0,10.0,1.0,8.0,261.0,105.0,66.0,259.0,105.0,66.0,9.0,387.0,31.0,28.0,53.0,421.0,28.0,67.0,37.0,11.0,0.0,529.0,0.0,2.0,4.0,37.0,0.0,22.0,0.0,0.0,10.0,10.0,0.0,50.0,55.0,0.0,15.0
5781,11905,2,6,CRYSTALCAVES,Chest Sorter (Assessment),77,1668.0,3641.0,439.0,33.0,77.0,7.0,190.0,7.0,180.0,5.0,19.0,18.0,6.0,5.0,1.0,21.0,1.0,19.0,588.0,239.0,145.0,582.0,239.0,145.0,24.0,715.0,43.0,70.0,144.0,872.0,28.0,153.0,74.0,25.0,0.0,973.0,0.0,5.0,4.0,112.0,3.0,22.0,0.0,0.0,10.0,10.0,77.0,53.0,55.0,152.0,102.0
3718,5235,1,0,CRYSTALCAVES,Cart Balancer (Assessment),50,1215.0,2230.0,252.0,21.0,50.0,4.0,112.0,7.0,107.0,5.0,9.0,9.0,4.0,4.0,0.0,13.0,1.0,11.0,414.0,124.0,87.0,410.0,124.0,87.0,15.0,451.0,31.0,47.0,66.0,557.0,28.0,92.0,64.0,19.0,0.0,668.0,0.0,5.0,4.0,44.0,3.0,22.0,0.0,0.0,10.0,10.0,77.0,53.0,55.0,0.0,67.0
